"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","1780","E","","","0"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","1715","C","","","0"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","2315","C","","","0"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","2795","B","","","0"
"2021-10","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","4860","D","","","0"
"2022-01","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","3605","B","","","0"
"2022-04","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","4315","B","","","0"
"2022-07","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","3700","C","","","0"
"2022-10","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","3385","C","","","0"
"2023-01","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","2335","C","","","0"
"2023-04","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","2600","D","","","0"
"2023-07","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Job vacancies","Number","223","units","0","v105068359","7.322.1.1","1665","C","","","0"
"2020-10","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2021-01","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2021-04","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
"2021-07","Ontario","2016A000235","Software engineers and designers [2173]","Type of work, all types","Proportion of job vacancies","Percentage","242","units","0","v105068360","7.322.1.2","100.0","","","","1"
